38 Province,,
,Unemployment Rate by Province (Percent),
,2007,
,February,August
ACEH,10.27,9.84
SUMATERA UTARA,10.63,10.1
SUMATERA BARAT,11.02,10.31
RIAU,10.39,9.79
JAMBI,6.74,6.22
SUMATERA SELATAN,10.4,9.34
BENGKULU,5.12,4.68
LAMPUNG,8.29,7.58
KEP. BANGKA BELITUNG,7.36,6.49
KEP. RIAU,8.86,9.01
DKI JAKARTA,13.27,12.57
JAWA BARAT,14.51,13.08
JAWA TENGAH,8.1,7.7
DI YOGYAKARTA,6.08,6.1
JAWA TIMUR,7.45,6.79
BANTEN,16.11,15.75
BALI,4.89,3.77
NUSA TENGGARA BARAT,7.55,6.48
NUSA TENGGARA TIMUR,3.98,3.72
KALIMANTAN BARAT,7.08,6.47
KALIMANTAN TENGAH,5.02,5.11
KALIMANTAN SELATAN,7.31,7.62
KALIMANTAN TIMUR,12.83,12.07
KALIMANTAN UTARA,-,-
SULAWESI UTARA,13.04,12.35
SULAWESI TENGAH,7.01,8.39
SULAWESI SELATAN,12.01,11.25
SULAWESI TENGGARA,6.93,6.4
GORONTALO,7.26,7.16
SULAWESI BARAT,4.09,5.45
MALUKU,14.37,12.2
MALUKU UTARA,8.34,6.05
PAPUA BARAT,10.18,9.46
PAPUA BARAT DAYA,-,-
PAPUA,5.52,5.01
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,9.75,9.11
