38 Province,,
,Unemployment Rate by Province (Percent),
,2009,
,February,August
ACEH,9.31,8.71
SUMATERA UTARA,8.25,8.45
SUMATERA BARAT,7.9,7.97
RIAU,8.96,8.56
JAMBI,5.2,5.54
SUMATERA SELATAN,8.38,7.61
BENGKULU,5.31,5.08
LAMPUNG,6.18,6.62
KEP. BANGKA BELITUNG,4.82,6.14
KEP. RIAU,7.81,8.11
DKI JAKARTA,11.99,12.15
JAWA BARAT,11.85,10.96
JAWA TENGAH,7.28,7.33
DI YOGYAKARTA,6,6
JAWA TIMUR,5.87,5.08
BANTEN,14.9,14.97
BALI,2.93,3.13
NUSA TENGGARA BARAT,6.12,6.25
NUSA TENGGARA TIMUR,2.78,3.97
KALIMANTAN BARAT,5.63,5.44
KALIMANTAN TENGAH,4.53,4.62
KALIMANTAN SELATAN,6.75,6.36
KALIMANTAN TIMUR,11.09,10.83
KALIMANTAN UTARA,-,-
SULAWESI UTARA,10.63,10.56
SULAWESI TENGAH,5.11,5.43
SULAWESI SELATAN,8.74,8.9
SULAWESI TENGGARA,5.38,4.74
GORONTALO,5.06,5.89
SULAWESI BARAT,4.92,4.51
MALUKU,10.38,10.57
MALUKU UTARA,6.61,6.76
PAPUA BARAT,7.73,7.56
PAPUA BARAT DAYA,-,-
PAPUA,4.13,4.08
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,8.14,7.87
