38 Province,,
,Unemployment Rate by Province (Percent),
,2006,
,February,August
ACEH,12.08,10.43
SUMATERA UTARA,14.82,11.51
SUMATERA BARAT,12.93,11.87
RIAU,11.46,10.24
JAMBI,7.77,6.62
SUMATERA SELATAN,12.1,9.33
BENGKULU,6.91,6.04
LAMPUNG,9.76,9.13
KEP. BANGKA BELITUNG,5.95,8.99
KEP. RIAU,10.69,12.24
DKI JAKARTA,14.31,11.4
JAWA BARAT,14.5,14.59
JAWA TENGAH,8.2,8.02
DI YOGYAKARTA,6.25,6.31
JAWA TIMUR,7.72,8.19
BANTEN,16.34,18.91
BALI,5.32,6.04
NUSA TENGGARA BARAT,8.96,8.9
NUSA TENGGARA TIMUR,4.98,3.65
KALIMANTAN BARAT,7.06,8.53
KALIMANTAN TENGAH,5.13,6.68
KALIMANTAN SELATAN,8.78,8.87
KALIMANTAN TIMUR,12.11,13.43
KALIMANTAN UTARA,-,-
SULAWESI UTARA,13.67,14.62
SULAWESI TENGAH,8.9,10.31
SULAWESI SELATAN,12.32,12.76
SULAWESI TENGGARA,7.42,9.67
GORONTALO,9.77,7.62
SULAWESI BARAT,4.64,6.45
MALUKU,15.76,13.72
MALUKU UTARA,8.54,6.9
PAPUA BARAT,11.17,10.17
PAPUA BARAT DAYA,-,-
PAPUA,4.5,5.83
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,10.45,10.28
