Unnamed: 0,0,1,2
2010-03-01,-314.7936244460831,305.27095445517966,-8.304178514190994
2010-04-01,-314.66984808443897,271.1551581506513,-5.459673770391408
2010-05-01,-314.54250830242177,236.54485266490215,-2.23893423083549
2010-06-01,-314.4158599818394,202.4977410430589,1.3946488371391421
2010-07-01,-314.29205691560264,167.79348321299577,3.7353629316515278
2010-08-01,-314.170953173668,133.1654694270186,7.131468995143981
2010-09-01,-314.04876318321215,99.09127055406785,10.542110915620247
2010-10-01,-313.92634821650915,64.47261263986647,14.251253884867412
2010-11-01,-313.7992542365636,30.36626202704041,17.53161951832763
2010-12-01,-313.68004070726613,-4.222837498909657,21.746470786180232
2011-01-01,-313.67135781634727,-5.655416886944597,22.086532323638398
2011-02-01,-313.6633794013025,-6.991281925799545,22.74321728693645
2011-03-01,-313.660047786556,-8.394380201981994,22.49435479826873
2011-04-01,-313.6524262694463,-9.798647451042648,22.868305260423938
2011-05-01,-313.6441180391013,-11.208038216302343,22.98108656274856
2011-06-01,-313.63531083454643,-12.572105134404262,23.502262315488927
2011-07-01,-313.6255556399157,-14.072145925856468,22.653906423455073
2011-08-01,-313.61662620946504,-15.526299006763297,22.267867352820886
2011-09-01,-313.60691129957274,-16.90513057766776,22.437453912227635
2011-10-01,-313.59729058055115,-18.39066380544784,21.645717072959236
2011-11-01,-313.5866819311609,-19.82886889810335,21.385113118546776
2011-12-01,-313.5776204229647,-21.275839414710155,21.029703301192505
2012-01-01,-313.5796304880426,-20.208467018219007,19.937664530253073
2012-02-01,-313.5826638112623,-19.102365172818924,20.180829541196477
2012-03-01,-313.58523203534776,-18.08086124621074,18.52537253887961
2012-04-01,-313.585459083783,-17.047768366613703,17.415399098052255
2012-05-01,-313.5895535706198,-15.95593746541504,16.61105755942244
2012-06-01,-313.59413913004977,-14.810498831786704,16.332767305216247
2012-07-01,-313.59638434337205,-13.76342248450383,15.01886926751901
2012-08-01,-313.60158996283263,-12.69090857698463,14.212390623398768
2012-09-01,-313.602273597172,-11.588494956982835,13.852703089119714
2012-10-01,-313.6081864768028,-10.503505544780978,12.679894270431785
2012-11-01,-313.6146111074294,-9.397320213782443,11.932982525882924
2012-12-01,-313.61947097679115,-8.261240007971487,11.292635345645515
2013-01-01,-313.61652350580914,-8.567225479395708,10.428744764113578
2013-02-01,-313.61079148483054,-8.757898917335755,10.546281257087303
2013-03-01,-313.60790027348537,-8.999180168101736,9.078730108231433
2013-04-01,-313.60338167209295,-9.18620619565517,8.550987343587973
2013-05-01,-313.6016884772115,-9.308645060260632,8.74014694071234
2013-06-01,-313.598007817642,-9.463944950080537,8.701309346443335
2013-07-01,-313.5934162190733,-9.685438413188807,7.868212061971663
2013-08-01,-313.5873487638398,-9.916559670355444,6.857834742338092
2013-09-01,-313.5817747819369,-10.161903003990089,6.594613716404162
2013-10-01,-313.5809572880863,-10.38728715743575,5.622944904193932
2013-11-01,-313.5774563088528,-10.621240498999262,4.996108259048059
2013-12-01,-313.5735802270344,-10.827420079997998,4.458675158119146
2014-01-01,-313.56909493550154,-10.981914551106803,3.51124973661793
2014-02-01,-313.56532128863927,-11.068769695974655,3.284704477022104
2014-03-01,-313.5617789768833,-11.159052743758709,1.7484427827402031
2014-04-01,-313.55895259036345,-11.155309420191953,1.8445357664154702
2014-05-01,-313.5556788027652,-11.222780967241526,1.4371531853581518
2014-06-01,-313.5541562556282,-11.223833113721003,1.727537410811716
2014-07-01,-313.5551605959422,-11.296787716714592,1.3853856811746348
2014-08-01,-313.5528603874438,-11.35529103125489,0.8385547447813908
2014-09-01,-313.54981410753646,-11.453103275250024,0.4154298038725267
2014-10-01,-313.54787848520186,-11.526230708627036,-0.03806872477221207
2014-11-01,-313.5483919248658,-11.561483385200727,-0.28159745021259597
2014-12-01,-313.5468378911458,-11.641952029340644,-1.1724457237911343
2015-01-01,-313.5452454073435,-11.693157146496949,-1.396928719583221
2015-02-01,-313.5407397576442,-11.742940347162802,-1.4280459293544905
2015-03-01,-313.542784038204,-11.773385232295178,-2.0679468266159025
2015-04-01,-313.54068478883875,-11.740938910523518,-1.8016486976957113
2015-05-01,-313.53726752124277,-11.772747419266253,-2.402939242077908
2015-06-01,-313.5329308164953,-11.752652259975914,-2.0199728749434724
2015-07-01,-313.5305462473492,-11.803427584483499,-2.820083043966869
2015-08-01,-313.52888452661136,-11.852405678803592,-3.1048534537718555
2015-09-01,-313.5252023205952,-11.91316055534467,-3.2437652439403664
2015-10-01,-313.5267104502122,-11.957646831853776,-3.736616064082791
2015-11-01,-313.529517682645,-11.996027734198995,-4.020928124234247
2015-12-01,-313.52841308249157,-12.004408526979478,-4.103111149543866
2016-01-01,-313.52610112479437,-11.970168852372469,-4.451601201045312
2016-02-01,-313.5246991403227,-11.88609339791617,-4.1457657010179325
2016-03-01,-313.521970977294,-11.860134970807161,-5.492999635870377
2016-04-01,-313.5190343046417,-11.752396660577965,-5.316275769651634
2016-05-01,-313.5183364746615,-11.623335423267944,-5.252349043433736
2016-06-01,-313.51662209787605,-11.459664354819761,-4.600602729022629
2016-07-01,-313.5138272556081,-11.365939541386224,-4.842745347613535
2016-08-01,-313.5119056605822,-11.314670922409466,-5.277287834715249
2016-09-01,-313.50723451129494,-11.203551266034289,-4.983184058375559
2016-10-01,-313.51024942816184,-11.11332918992179,-5.186970019283802
2016-11-01,-313.51046259489607,-11.00962628458474,-4.928045125132724
2016-12-01,-313.5090248243823,-10.919080540650738,-5.623159025348386
2017-01-01,-313.5045077476974,-11.114649627730984,-5.492706544980585
