Unnamed: 0,0,1,2
2010-03-01,-119.01860224479341,-45.55693453169329,294.1055767020146
2010-04-01,-118.87388402479382,-43.27200779569917,261.2597567231427
2010-05-01,-118.72384756651265,-40.95168148366476,228.01979777399123
2010-06-01,-118.58375116961224,-38.70248815128703,195.50431099855754
2010-07-01,-118.45030273297722,-36.350574539164306,162.13049719199842
2010-08-01,-118.31957519096072,-34.046941886522674,128.91407174920636
2010-09-01,-118.1756567194037,-31.750439380670322,96.27896716184335
2010-10-01,-118.04491573394188,-29.496462883705732,62.987080194290925
2010-11-01,-117.89602862466518,-27.171463603498353,30.194511399617298
2010-12-01,-117.74970470418485,-24.922188083289534,-3.033160377759667
2011-01-01,-117.72973491141379,-24.791735489827392,-4.7045401054190785
2011-02-01,-117.72551941631717,-24.70737750381579,-5.996777274234523
2011-03-01,-117.72999538326825,-24.59730982621352,-7.424361402763999
2011-04-01,-117.71403265423125,-24.46164955660886,-8.88446611683996
2011-05-01,-117.69766851022428,-24.32791245354363,-10.2333505914499
2011-06-01,-117.6795604328972,-24.215252823459192,-11.551688180133974
2011-07-01,-117.66636081283781,-24.045518288423136,-13.144341064574213
2011-08-01,-117.65478841189353,-23.87417785072505,-14.67722438400399
2011-09-01,-117.64595645700271,-23.76901999968503,-16.061193991196344
2011-10-01,-117.63677628449008,-23.618056519211663,-17.69477914363893
2011-11-01,-117.62107856501774,-23.469089016102096,-19.27585788814364
2011-12-01,-117.59740864127242,-23.330162753723688,-20.836059051135194
2012-01-01,-117.60279189522136,-23.339291267027136,-19.99830656890566
2012-02-01,-117.61995133185167,-23.44891375010058,-18.99152398461003
2012-03-01,-117.61948085216208,-23.42813971269311,-18.271875890156537
2012-04-01,-117.60626943794713,-23.397442894298724,-17.34774187475487
2012-05-01,-117.59799766913363,-23.4076671727101,-16.36330471791536
2012-06-01,-117.59104250704091,-23.450521240950984,-15.262551887139983
2012-07-01,-117.59751170567046,-23.45788787405897,-14.308236684447756
