Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2010-03-01,-1.8260034,3.6326542,-5.715401,2.7815335,3.2806113,3.1170585,-3.1401844,-1.3659844,-1.9604933,6.6514854,0.2143839,-2.6140513,0.42703396,0.9833268,-1.4444287,3.2643006,2.899802,3.5455327
2010-04-01,-1.7807261,3.3596358,-5.899705,2.7557278,3.2469478,2.987219,-3.11647,-1.1883063,-1.9708242,6.479261,0.45185292,-2.7224824,0.79864866,1.0365015,-1.4914682,3.325787,2.4741662,3.457459
2010-05-01,-1.6637108,2.989386,-5.5274854,3.1981518,4.2980013,2.7009916,-3.1965747,-0.58034617,-1.7703462,6.269385,0.9628806,-2.6875365,0.65856034,0.77387714,-1.3376167,3.4863138,2.7093499,3.2286897
2010-06-01,-1.8428037,3.1925547,-5.831721,3.051107,4.6804004,2.4482853,-3.093195,-0.39750278,-1.8091245,6.2432404,0.9075307,-2.6525187,0.8936866,0.77360296,-1.4291656,3.3050947,2.8122935,3.4202268
2010-07-01,-1.1994497,2.6703625,-5.673585,3.3902488,4.5124946,2.194345,-3.0743165,-0.09191636,-1.8171232,5.7831707,1.067294,-2.357536,0.9188274,0.7387921,-1.7507122,2.9826386,2.1032043,3.4230866
2010-08-01,-1.3589436,2.508579,-5.349546,3.4481914,4.2994556,2.2334192,-3.1790693,0.29661283,-1.7548685,5.3840504,0.7213456,-1.9914913,0.73277014,0.9261571,-1.6219455,3.1813462,1.9451522,3.4012127
2010-09-01,-1.560395,2.556761,-5.4115047,3.5561562,4.323301,2.277855,-3.0154405,0.33704093,-1.4380152,5.288242,0.853248,-1.7015026,0.69053453,0.8039996,-1.6092838,2.859601,1.9295028,3.598919
2010-10-01,-1.7012045,3.1223006,-5.595413,2.858894,4.301728,2.0242298,-2.803412,0.16535805,-1.6802583,5.4728017,0.5839308,-1.8741791,0.9286027,1.1576219,-1.4855781,2.7291083,1.8084956,3.485378
2010-11-01,-2.3525574,3.3185158,-5.836666,2.8497567,3.9274995,1.7359,-2.5609937,-0.36565217,-1.2264478,5.37529,0.85072315,-1.3354082,0.9866528,0.8821493,-1.5432137,2.392682,1.6095456,3.5991778
2010-12-01,-2.5394197,4.0401406,-5.6078334,2.5645812,3.8675306,1.9279103,-2.56175,-0.41048294,-0.93972397,5.614431,0.45187998,-0.90683055,0.305015,0.8321602,-1.1467775,2.3354025,1.5315654,3.5877464
2011-01-01,-3.1824794,4.398015,-5.7336793,1.6426102,2.4071522,2.288306,-2.0603025,-1.9043251,-0.23992413,5.211634,-0.17445381,-0.40491626,0.04139532,0.8123271,-0.40555146,2.1267433,1.8672203,3.768466
2011-02-01,-3.6580992,4.4145155,-5.4145694,1.7226338,2.447987,1.9230076,-2.1487184,-1.9016923,0.113529086,4.6899776,-0.19017005,0.15193602,-0.28204408,0.32474437,-0.7629627,2.042357,2.0420969,4.142337
2011-03-01,-3.3739188,4.493033,-5.02983,1.9143592,2.093268,1.762866,-2.0703945,-1.7527144,0.072655596,4.8260036,-0.7009654,0.28847048,-1.1979446,0.44614044,-0.40076467,1.9443249,1.8623384,4.023244
2011-04-01,-3.5816524,4.7553654,-5.1692457,1.8397826,1.7374258,1.861093,-1.828217,-2.2501187,0.823787,4.335815,-0.86019427,0.8247856,-1.4036189,0.18658383,-0.17746058,1.7250692,2.0011938,4.1713457
2011-05-01,-3.8584723,4.759924,-5.0113497,1.7045552,1.8878094,1.7353243,-1.6575747,-2.3305414,0.8036816,4.020468,-0.9155743,0.9664397,-1.4582536,0.05308338,-0.0068994733,1.3460246,2.138039,4.0532546
2011-06-01,-4.015536,4.7826595,-4.7350864,1.6615074,2.0317626,1.8689806,-1.8384607,-2.1816123,0.92328066,3.6923695,-0.81948274,1.1858299,-1.6504475,-0.32603878,0.29223347,1.1227157,2.5181386,4.175051
2011-07-01,-3.810495,4.6503134,-4.6354628,1.7804132,1.6501987,1.3544087,-1.6874045,-2.0809174,0.9821713,3.1484497,-1.0313118,1.6142943,-1.7994403,-0.38911054,0.030863024,0.74693704,2.2281697,4.3712435
2011-08-01,-3.9910913,4.684539,-4.8204713,1.7210909,1.1536407,1.5140368,-1.7641785,-2.4714248,1.1839341,2.6637874,-1.2019417,2.0396938,-1.9568096,-0.32318357,0.41822186,0.13985848,2.3208034,4.617347
2011-09-01,-4.3750663,4.689051,-4.7956953,1.6141042,1.2299203,1.4128523,-1.7522228,-2.5136545,1.0129676,2.5400343,-1.2696413,2.001553,-2.0444698,-0.339956,0.49782482,0.20917842,2.5663006,4.489115
2011-10-01,-4.252215,4.736469,-4.5428414,1.7936531,0.59109426,1.1582568,-1.7668728,-2.798597,0.884848,2.2513654,-1.2192732,2.2993593,-2.2153504,-0.44282088,0.70409626,0.051139243,2.2443082,4.3052573
2011-11-01,-4.6260633,4.977162,-4.3124957,1.9164083,0.6780605,0.5299159,-1.7341374,-2.7806592,1.1789808,1.9851365,-1.2946278,3.0566883,-2.5328016,-0.6580193,0.95963407,0.017082104,2.2528536,4.1308274
2011-12-01,-4.5606117,5.067404,-4.0501437,1.6939976,0.46467555,0.33135906,-1.6072444,-3.0692103,1.0590016,1.8853073,-1.1936615,3.0633392,-2.6248937,-0.66619337,0.99614733,-0.041658536,2.2981315,4.019182
2012-01-01,-4.492981,5.0704575,-4.196357,1.7239097,0.23597471,-0.0086126365,-1.6265683,-2.857143,0.8539905,1.6892186,-1.1257933,2.953285,-2.251354,-0.4767951,0.8390872,-0.2991443,2.0062497,3.6157832
2012-02-01,-4.624927,4.913848,-4.21224,1.581004,0.7292288,-0.12361365,-1.5043669,-2.5507457,0.7053403,2.120049,-1.2857527,2.6744416,-2.0042574,-0.6116519,0.76994574,-0.3396812,2.1263258,3.5105758
