Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-03-01,-3.421646,-8.953196,-0.33137834,2.2462742,-9.684915,4.768778,-0.02313125,1.3066267,5.1926136,1.7372973,5.054856,-2.5976868,-6.4635625,-0.50889474,-1.3831097,-0.2959813,3.4429076,1.6327852,6.1330757,4.9943542
2010-04-01,-3.3380907,-8.314765,-0.14075321,2.2934048,-9.046368,4.4589176,0.15005057,0.99997234,5.254546,1.673173,4.974889,-2.769258,-5.7393885,-0.51716375,-1.0861946,0.14489628,3.0178766,1.2862973,5.7035465,4.7452745
2010-05-01,-3.0182278,-8.296834,0.11683922,2.6325188,-8.795719,3.9301736,0.38329405,0.82494384,5.091636,1.7873333,5.1362257,-3.0754302,-5.5931125,-0.4102758,-0.8518301,0.056775574,3.0257642,1.1839882,5.215849,4.7248344
2010-06-01,-2.8489556,-8.321097,0.10853132,2.7138453,-8.853479,3.909402,0.43895346,0.32057148,5.2773223,2.1918848,4.896103,-3.1170223,-5.7557883,-0.6966988,-0.34983942,0.18417713,3.1687784,1.4930317,4.89987,5.2684846
2010-07-01,-2.6502585,-8.030873,-0.055602185,3.0146697,-8.326804,3.5961585,0.5568557,0.42946875,4.7772923,2.2467444,4.926322,-2.866702,-5.4820037,-0.6973965,-0.7550484,-0.26861057,3.1195107,1.1986881,4.3596106,4.292255
2010-08-01,-2.7640235,-7.9076576,-0.12869786,2.9334967,-8.07859,3.4081392,0.130532,0.5420767,4.5620565,2.5186071,4.7571692,-2.6426876,-5.798694,-0.6619531,-0.6670609,-0.5319539,2.4368463,1.3747113,4.8829074,4.165068
2010-09-01,-2.836131,-7.798779,0.082555264,2.7773395,-8.099754,3.4441724,-0.14705479,0.40929893,4.454731,2.8471158,5.0332117,-2.7232878,-5.865596,-0.7671491,-0.51459455,-0.3191508,2.7596583,1.278026,4.4465227,3.9895473
2010-10-01,-2.6471496,-7.2997117,-0.42405584,2.861298,-7.630443,3.4604492,0.25343046,0.24339199,3.9175544,2.9161866,4.5480356,-2.9506173,-5.2664795,-0.60721856,-0.20073107,-0.19182897,2.4143739,1.4768487,4.179717,3.9028876
2010-11-01,-2.6906972,-7.0604186,-0.451942,2.797933,-7.261424,3.3232927,-0.22569683,0.49000052,3.291604,3.2287688,4.7383184,-2.4236927,-5.5968437,-0.72956973,-0.43926862,-0.6083846,2.8849497,0.79883176,4.215761,3.1987903
2010-12-01,-3.041699,-6.4661374,-0.61849725,2.521898,-7.438673,3.3764691,0.034718335,0.29109865,2.963973,3.1598554,4.3707066,-2.5994253,-5.471162,-0.88307786,-0.009996927,0.12707873,3.0397975,0.9339379,3.96328,3.718531
2011-01-01,-3.2995696,-6.681378,0.023336546,1.9659772,-7.3800397,3.4442608,-0.22568944,0.26691484,2.9893591,3.124099,4.2295294,-2.6395564,-5.3220463,-0.467288,-0.13598688,0.64396846,3.4643087,1.2704682,3.523663,3.3842685
2011-02-01,-3.5152946,-6.323001,0.22537279,2.1025054,-7.4393334,3.5330822,-0.44618797,0.06894151,2.9072134,3.8181746,4.83399,-2.74032,-5.8784065,-0.45382875,-0.118654765,0.3717582,3.803308,1.169145,4.2306886,2.6754098
2011-03-01,-3.5824382,-6.2173076,-0.1601849,2.0332983,-7.320046,3.4216604,-0.29943657,0.37477612,2.527965,3.0932133,4.3318877,-2.4598877,-5.562712,-0.5620058,-0.47512525,0.2612839,3.1098418,1.1369299,4.4047008,2.7334054
2011-04-01,-3.6996017,-6.2336845,-0.16892365,1.6490446,-7.339129,3.4890406,-0.32150495,0.86930704,2.6275167,3.1883912,4.0508256,-1.9932989,-5.5885224,-0.7800529,-0.57182175,0.39441654,3.4238696,0.68627775,4.688995,2.6866083
2011-05-01,-3.8973417,-6.5682735,-0.3614797,1.799739,-7.471662,3.5870721,0.07594633,0.7130226,2.5118663,3.4325542,3.6958282,-2.0526228,-5.913168,-0.4483499,-0.86739266,0.7637043,3.1273725,1.3887358,4.2181273,2.7680535
