STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DOMAIN,Working domain,SEX,Sex,WORK_STATUS,Working status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2018,,77150,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2019,,77150,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2000,,39540,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2001,,49750,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2002,,44870,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2003,,131430,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2004,,178200,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2005,,189340,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2006,,197140,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2007,,204940,,A,Normal value,,,0,Units,0,Zero,,
