DATE,FPCPITOTLZGMYS
1960-01-01,0.063182597888167
1961-01-01,-0.180407721631565
1962-01-01,0.10844026784809
1963-01-01,3.10525365608344
1964-01-01,-0.402731571003658
1965-01-01,-0.10548523224379
1966-01-01,0.967969025261369
1967-01-01,4.57556214033291
1968-01-01,-0.158346528794567
1969-01-01,-0.40901502529407
1970-01-01,1.84393596556387
1971-01-01,1.61303596395808
1972-01-01,3.23155422354874
1973-01-01,10.5601757413101
1974-01-01,17.3289809824411
1975-01-01,4.48772226915906
1976-01-01,2.63371150730571
1977-01-01,4.78822401445964
1978-01-01,4.86006458554252
1979-01-01,3.65446799796414
1980-01-01,6.6749195345051
1981-01-01,9.70000000000015
1982-01-01,5.8189000297783
1983-01-01,3.70423546319373
1984-01-01,3.89727260149768
1985-01-01,0.346458791259884
1986-01-01,0.737002855391939
1987-01-01,0.290007909438412
1988-01-01,2.55651945320742
1989-01-01,2.81320089714805
1990-01-01,2.61780104712051
1991-01-01,4.358333333333
1992-01-01,4.76722829992821
1993-01-01,3.53658536585389
1994-01-01,3.72497055359284
1995-01-01,3.45057509584895
1996-01-01,3.48855945858916
1997-01-01,2.66251459711946
1998-01-01,5.27034200348766
1999-01-01,2.74456130240604
2000-01-01,1.53474023697699
2001-01-01,1.41678473206098
2002-01-01,1.80787246281536
2003-01-01,1.08967632577286
2004-01-01,1.42127115937402
2005-01-01,2.97507092684449
2006-01-01,3.60923564224389
2007-01-01,2.02735317779569
2008-01-01,5.44078221100769
2009-01-01,0.583308405623702
2010-01-01,1.62285235577035
2011-01-01,3.1744709215131
2012-01-01,1.66357102479206
2013-01-01,2.10501231233612
2014-01-01,3.14299050879095
2015-01-01,2.10438980238359
2016-01-01,2.09056659525742
2017-01-01,3.87120115774237
2018-01-01,0.884709160571235
2019-01-01,0.662891865764326
2020-01-01,-1.1387021539305
2021-01-01,2.47710241465447
2022-01-01,3.37869862549928
2023-01-01,2.48886560125754
