Police Territorial Jurisdiction,,,
,Number Of Crime According To Police Territorial Jurisdiction,,
,2009,2010,2011
ACEH,6297,9244,9114
SUMATERA UTARA,26597,33227,37610
SUMATERA BARAT,11848,10819,11695
RIAU,8968,10129,8323
JAMBI,2637,3586,4450
SUMATERA SELATAN,14170,18288,19353
BENGKULU,1827,2717,3498
LAMPUNG,9959,4813,6052
KEP. BANGKA BELITUNG,2506,2642,2732
KEP. RIAU,3494,4141,3643
METRO JAYA,57041,60989,53324
JAWA BARAT,27352,16869,29296
JAWA TENGAH,19801,15479,15205
DI YOGYAKARTA,6988,17622,6326
JAWA TIMUR,37337,16948,28392
BANTEN,2481,3832,3205
BALI,7950,5593,5490
NUSA TENGGARA BARAT,8535,10908,9585
NUSA TENGGARA TIMUR,6421,3583,5298
KALIMANTAN BARAT,10886,8599,10296
KALIMANTAN TENGAH,4097,2734,5682
KALIMANTAN SELATAN,4069,1910,499
KALIMANTAN TIMUR,7180,10007,9439
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,12515,8710,11286
SULAWESI TENGAH,7160,13030,7001
SULAWESI SELATAN,16971,15784,22509
SULAWESI TENGGARA,6129,6196,6254
GORONTALO,3917,3080,2602
SULAWESI BARAT,-,-,-
MALUKU,2570,4004,1510
MALUKU UTARA,1111,1916,887
PAPUA BARAT,-,-,-
PAPUA,6128,5091,7049
INDONESIA,344942,332490,347605
