Police Territorial Jurisdiction,,,
,Number Of Crime According To Police Territorial Jurisdiction,,
,2006,2007,2008
ACEH,986,3053,1517
SUMATERA UTARA,27785,28642,26185
SUMATERA BARAT,9953,9499,10776
RIAU,6277,9767,8024
JAMBI,1969,2426,2692
SUMATERA SELATAN,8294,9966,11213
BENGKULU,1654,1945,2001
LAMPUNG,6052,6577,6850
KEP. BANGKA BELITUNG,1843,2284,2021
KEP. RIAU,3442,3233,2998
METRO JAYA,60996,63661,61409
JAWA BARAT,22098,22160,23862
JAWA TENGAH,18873,19806,20080
DI YOGYAKARTA,2913,4316,5183
JAWA TIMUR,42583,43822,40598
BANTEN,1660,1771,1255
BALI,7420,7590,7401
NUSA TENGGARA BARAT,6327,6885,7024
NUSA TENGGARA TIMUR,5011,6575,6772
KALIMANTAN BARAT,8738,10532,11265
KALIMANTAN TENGAH,3100,4080,4213
KALIMANTAN SELATAN,3439,3068,5404
KALIMANTAN TIMUR,7472,8309,6714
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,9814,10275,10189
SULAWESI TENGAH,5048,6272,6012
SULAWESI SELATAN,14214,16387,16354
SULAWESI TENGGARA,1007,5940,6176
GORONTALO,2724,4421,3754
SULAWESI BARAT,-,-,-
MALUKU,1039,1726,2348
MALUKU UTARA,883,714,708
PAPUA BARAT,-,-,-
PAPUA,5549,4682,5754
INDONESIA,299163,330384,326752
