Police Territorial Jurisdiction,,,
,Number Of Crime According To Police Territorial Jurisdiction,,
,2012,2013,2014
ACEH,9200,9150,7569
SUMATERA UTARA,33250,40709,35728
SUMATERA BARAT,13468,14324,14955
RIAU,12533,9399,9644
JAMBI,6099,6510,7643
SUMATERA SELATAN,21498,22882,22708
BENGKULU,3943,4550,3847
LAMPUNG,4383,4812,7755
KEP. BANGKA BELITUNG,5197,2515,1796
KEP. RIAU,3626,4278,4633
METRO JAYA,52642,49498,44298
JAWA BARAT,27247,24843,27058
JAWA TENGAH,11079,14859,15993
DI YOGYAKARTA,8987,6727,7135
JAWA TIMUR,22774,16913,14102
BANTEN,3804,4259,5741
BALI,5183,5980,5072
NUSA TENGGARA BARAT,10504,8928,7242
NUSA TENGGARA TIMUR,6389,6844,6496
KALIMANTAN BARAT,10315,9430,8019
KALIMANTAN TENGAH,3219,2983,2865
KALIMANTAN SELATAN,3372,7080,5982
KALIMANTAN TIMUR,9639,9251,9095
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,6815,7609,6163
SULAWESI TENGAH,8134,7815,7804
SULAWESI SELATAN,18169,17124,14925
SULAWESI TENGGARA,7166,7059,5284
GORONTALO,2458,3735,3377
SULAWESI BARAT,-,-,-
MALUKU,1726,2186,2394
MALUKU UTARA,926,1177,1124
PAPUA BARAT,-,-,-
PAPUA,7414,8655,8870
INDONESIA,341159,342084,325317
