Police Territorial Jurisdiction,,,
,Number Of Crime According To Police Territorial Jurisdiction,,
,2003,2004,2005
ACEH,2724,1873,2181
SUMATERA UTARA,17530,20924,25111
SUMATERA BARAT,5842,5387,7203
RIAU,7020,7151,6855
JAMBI,1793,1984,2202
SUMATERA SELATAN,7534,7328,8579
BENGKULU,1159,1086,1100
LAMPUNG,3697,4624,4253
KEP. BANGKA BELITUNG,-,-,1218
KEP. RIAU,-,-,1984
METRO JAYA,37895,53404,57762
JAWA BARAT,17188,17549,19574
JAWA TENGAH,12528,13374,12823
DI YOGYAKARTA,2063,2377,3429
JAWA TIMUR,26347,25603,30476
BANTEN,-,802,1946
BALI,4354,5456,5902
NUSA TENGGARA BARAT,3245,3429,4352
NUSA TENGGARA TIMUR,3887,3468,5105
KALIMANTAN BARAT,1846,2658,5145
KALIMANTAN TENGAH,2230,2304,3026
KALIMANTAN SELATAN,3542,3472,2757
KALIMANTAN TIMUR,5264,5853,6778
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,11229,7684,9181
SULAWESI TENGAH,3881,3246,4935
SULAWESI SELATAN,7405,10033,12571
SULAWESI TENGGARA,1183,1672,583
GORONTALO,-,2250,2681
SULAWESI BARAT,-,-,-
MALUKU,1851,1146,902
MALUKU UTARA,-,-,542
PAPUA BARAT,-,-,-
PAPUA,3694,4749,5387
INDONESIA,196931,220886,256543
